model,zone,tech_type,planning_year,existing,unit,start_value,end_value,retired_value,new_build_value
GenX,BASN,Battery,2027,False,MW,0.0,1.5,0.0,1.5
GenX,BASN,Battery,2027,False,MWh,0.0,1.7,0.0,1.7
GenX,BASN,Battery,2027,True,MW,935.8,935.8,0.0,0.0
GenX,BASN,Battery,2027,True,MWh,2195.6,2195.6,0.0,0.0
GenX,BASN,Battery,2030,False,MW,1.5,3.1,0.0,1.6
GenX,BASN,Battery,2030,False,MWh,1.7,4.8,0.0,3.1
GenX,BASN,Battery,2030,True,MW,935.8,935.8,0.0,0.0
GenX,BASN,Battery,2030,True,MWh,2195.6,2195.6,0.0,0.0
GenX,BASN,Battery,2035,False,MW,3.1,3.4,0.0,0.3
GenX,BASN,Battery,2035,False,MWh,4.8,7.6,0.0,2.8
GenX,BASN,Battery,2035,True,MW,935.8,934.8,1.0,0.0
GenX,BASN,Battery,2035,True,MWh,2195.6,2194.6,1.0,0.0
GenX,BASN,Battery,2040,False,MW,3.4,24.4,0.0,21.0
GenX,BASN,Battery,2040,False,MWh,7.6,102.1,0.0,94.4
GenX,BASN,Battery,2040,True,MW,934.8,0.0,934.8,0.0
GenX,BASN,Battery,2040,True,MWh,2194.6,0.0,2194.6,0.0
GenX,BASN,Battery,2045,False,MW,24.4,5752.8,0.0,5728.5
GenX,BASN,Battery,2045,False,MWh,102.1,27060.0,0.0,26957.9
GenX,BASN,Battery,2045,True,MW,0.0,0.0,0.0,0.0
GenX,BASN,Battery,2045,True,MWh,0.0,0.0,0.0,0.0
GenX,BASN,Battery,2050,False,MW,5752.8,12620.0,0.0,6867.2
GenX,BASN,Battery,2050,False,MWh,27060.0,61097.8,0.0,34037.8
GenX,BASN,Battery,2050,True,MW,0.0,0.0,0.0,0.0
GenX,BASN,Battery,2050,True,MWh,0.0,0.0,0.0,0.0
GenX,BASN,Coal,2027,True,MW,3000.2,3000.2,0.0,0.0
GenX,BASN,Coal,2030,True,MW,3000.2,3000.2,0.0,0.0
GenX,BASN,Coal,2035,True,MW,3000.2,3000.2,0.0,0.0
GenX,BASN,Coal,2040,True,MW,3000.2,2091.2,909.0,0.0
GenX,BASN,Coal,2045,True,MW,2091.2,1199.2,892.0,0.0
GenX,BASN,Coal,2050,True,MW,1199.2,728.2,471.0,0.0
GenX,BASN,Distributed Solar,2027,True,MW,1193.0,1193.0,0.0,0.0
GenX,BASN,Distributed Solar,2030,True,MW,1193.0,1641.0,0.0,448.0
GenX,BASN,Distributed Solar,2035,True,MW,1641.0,2007.0,0.0,366.0
GenX,BASN,Distributed Solar,2040,True,MW,2007.0,2009.0,0.0,2.0
GenX,BASN,Distributed Solar,2045,True,MW,2009.0,2027.0,0.0,18.0
GenX,BASN,Distributed Solar,2050,True,MW,2027.0,2056.0,0.0,29.0
GenX,BASN,Geothermal,2027,True,MW,462.4,462.4,0.0,0.0
GenX,BASN,Geothermal,2030,True,MW,462.4,432.9,29.5,0.0
GenX,BASN,Geothermal,2035,True,MW,432.9,414.0,18.9,0.0
GenX,BASN,Geothermal,2040,True,MW,414.0,287.4,126.6,0.0
GenX,BASN,Geothermal,2045,True,MW,287.4,151.7,135.7,0.0
GenX,BASN,Geothermal,2050,True,MW,151.7,56.5,95.2,0.0
GenX,BASN,Hydro,2027,True,MW,2662.7,2662.7,0.0,0.0
GenX,BASN,Hydro,2030,True,MW,2662.7,2662.7,0.0,0.0
GenX,BASN,Hydro,2035,True,MW,2662.7,2653.1,9.6,0.0
GenX,BASN,Hydro,2040,True,MW,2653.1,1859.7,793.4,0.0
GenX,BASN,Hydro,2045,True,MW,1859.7,1730.4,129.3,0.0
GenX,BASN,Hydro,2050,True,MW,1730.4,1561.0,169.4,0.0
GenX,BASN,Hydrogen,2027,False,MW,0.0,0.9,0.0,0.9
GenX,BASN,Hydrogen,2030,False,MW,0.9,1.8,0.0,0.9
GenX,BASN,Hydrogen,2035,False,MW,1.8,2.0,0.0,0.2
GenX,BASN,Hydrogen,2040,False,MW,2.0,3.3,0.0,1.3
GenX,BASN,Hydrogen,2045,False,MW,3.3,5.9,0.0,2.6
GenX,BASN,Hydrogen,2050,False,MW,5.9,6.2,0.0,0.4
GenX,BASN,Natural Gas CC,2027,True,MW,8312.3,8312.3,0.0,0.0
GenX,BASN,Natural Gas CC,2030,True,MW,8312.3,8219.2,93.1,0.0
GenX,BASN,Natural Gas CC,2035,True,MW,8219.2,8029.2,190.0,0.0
GenX,BASN,Natural Gas CC,2040,True,MW,8029.2,7529.2,500.0,0.0
GenX,BASN,Natural Gas CC,2045,True,MW,7529.2,7529.2,0.0,0.0
GenX,BASN,Natural Gas CC,2050,True,MW,7529.2,7529.2,0.0,0.0
GenX,BASN,Natural Gas CT,2027,True,MW,2183.0,2183.0,0.0,0.0
GenX,BASN,Natural Gas CT,2030,True,MW,2183.0,2183.0,0.0,0.0
GenX,BASN,Natural Gas CT,2035,True,MW,2183.0,2060.9,122.1,0.0
GenX,BASN,Natural Gas CT,2040,True,MW,2060.9,2060.9,0.0,0.0
GenX,BASN,Natural Gas CT,2045,True,MW,2060.9,1618.9,442.0,0.0
GenX,BASN,Natural Gas CT,2050,True,MW,1618.9,1618.9,0.0,0.0
GenX,BASN,Natural Gas Other,2027,True,MW,689.9,689.9,0.0,0.0
GenX,BASN,Natural Gas Other,2030,True,MW,689.9,463.9,226.0,0.0
GenX,BASN,Natural Gas Other,2035,True,MW,463.9,226.4,237.5,0.0
GenX,BASN,Natural Gas Other,2040,True,MW,226.4,226.4,0.0,0.0
GenX,BASN,Natural Gas Other,2045,True,MW,226.4,221.4,5.0,0.0
GenX,BASN,Natural Gas Other,2050,True,MW,221.4,203.5,17.9,0.0
GenX,BASN,Nuclear,2027,False,MW,0.0,0.1,0.0,0.1
GenX,BASN,Nuclear,2030,False,MW,0.1,0.3,0.0,0.2
GenX,BASN,Nuclear,2035,False,MW,0.3,0.3,0.0,0.0
GenX,BASN,Nuclear,2040,False,MW,0.3,0.4,0.0,0.1
GenX,BASN,Nuclear,2045,False,MW,0.4,0.7,0.0,0.2
GenX,BASN,Nuclear,2050,False,MW,0.7,1.0,0.0,0.4
GenX,BASN,Other,2027,True,MW,54.5,54.5,0.0,0.0
GenX,BASN,Other,2030,True,MW,54.5,54.5,0.0,0.0
GenX,BASN,Other,2035,True,MW,54.5,50.5,4.0,0.0
GenX,BASN,Other,2040,True,MW,50.5,38.3,12.2,0.0
GenX,BASN,Other,2045,True,MW,38.3,35.9,2.4,0.0
GenX,BASN,Other,2050,True,MW,35.9,16.4,19.5,0.0
GenX,BASN,Solar,2027,False,MW,0.0,11.8,0.0,11.8
GenX,BASN,Solar,2027,True,MW,8006.2,8006.2,0.0,0.0
GenX,BASN,Solar,2030,False,MW,11.8,7848.8,0.0,7837.0
GenX,BASN,Solar,2030,True,MW,8006.2,8006.2,0.0,0.0
GenX,BASN,Solar,2035,False,MW,7848.8,14257.0,0.0,6408.1
GenX,BASN,Solar,2035,True,MW,8006.2,8006.2,0.0,0.0
GenX,BASN,Solar,2040,False,MW,14257.0,19045.6,0.0,4788.6
GenX,BASN,Solar,2040,True,MW,8006.2,7934.0,72.2,0.0
GenX,BASN,Solar,2045,False,MW,19045.6,31850.9,0.0,12805.3
GenX,BASN,Solar,2045,True,MW,7934.0,7065.1,868.9,0.0
GenX,BASN,Solar,2050,False,MW,31850.9,41874.4,0.0,10023.5
GenX,BASN,Solar,2050,True,MW,7065.1,4272.4,2792.7,0.0
GenX,BASN,Wind,2027,False,MW,0.0,8129.2,0.0,8129.2
GenX,BASN,Wind,2027,True,MW,2030.1,2030.1,0.0,0.0
GenX,BASN,Wind,2030,False,MW,8129.2,17479.4,0.0,9350.2
GenX,BASN,Wind,2030,True,MW,2030.1,2030.1,0.0,0.0
GenX,BASN,Wind,2035,False,MW,17479.4,24334.0,0.0,6854.6
GenX,BASN,Wind,2035,True,MW,2030.1,2019.6,10.5,0.0
GenX,BASN,Wind,2040,False,MW,24334.0,31245.8,0.0,6911.8
GenX,BASN,Wind,2040,True,MW,2019.6,1454.0,565.6,0.0
GenX,BASN,Wind,2045,False,MW,31245.8,33426.8,0.0,2181.0
GenX,BASN,Wind,2045,True,MW,1454.0,583.8,870.2,0.0
GenX,BASN,Wind,2050,False,MW,33426.8,33509.7,0.0,82.9
GenX,BASN,Wind,2050,True,MW,583.8,520.0,63.8,0.0
GenX,CANO,Battery,2027,False,MW,0.0,1.5,0.0,1.5
GenX,CANO,Battery,2027,False,MWh,0.0,1.6,0.0,1.6
GenX,CANO,Battery,2027,True,MW,2650.6,2650.6,0.0,0.0
GenX,CANO,Battery,2027,True,MWh,10570.7,10570.7,0.0,0.0
GenX,CANO,Battery,2030,False,MW,1.5,2.9,0.0,1.4
GenX,CANO,Battery,2030,False,MWh,1.6,4.6,0.0,3.0
GenX,CANO,Battery,2030,True,MW,2650.6,2650.6,0.0,0.0
GenX,CANO,Battery,2030,True,MWh,10570.7,10570.7,0.0,0.0
GenX,CANO,Battery,2035,False,MW,2.9,3.0,0.0,0.1
GenX,CANO,Battery,2035,False,MWh,4.6,6.4,0.0,1.8
GenX,CANO,Battery,2035,True,MW,2650.6,2645.7,4.9,0.0
GenX,CANO,Battery,2035,True,MWh,10570.7,10560.6,10.1,0.0
GenX,CANO,Battery,2040,False,MW,3.0,6.1,0.0,3.1
GenX,CANO,Battery,2040,False,MWh,6.4,23.9,0.0,17.5
GenX,CANO,Battery,2040,True,MW,2645.7,0.0,2645.7,0.0
GenX,CANO,Battery,2040,True,MWh,10560.6,0.0,10560.6,0.0
GenX,CANO,Battery,2045,False,MW,6.1,20.1,0.0,14.1
GenX,CANO,Battery,2045,False,MWh,23.9,91.2,0.0,67.3
GenX,CANO,Battery,2045,True,MW,0.0,0.0,0.0,0.0
GenX,CANO,Battery,2045,True,MWh,0.0,0.0,0.0,0.0
GenX,CANO,Battery,2050,False,MW,20.1,367.0,0.0,346.9
GenX,CANO,Battery,2050,False,MWh,91.2,1980.3,0.0,1889.2
GenX,CANO,Battery,2050,True,MW,0.0,0.0,0.0,0.0
GenX,CANO,Battery,2050,True,MWh,0.0,0.0,0.0,0.0
GenX,CANO,CCS,2027,False,MW,0.0,0.3,0.0,0.3
GenX,CANO,CCS,2030,False,MW,0.3,3387.0,0.0,3386.7
GenX,CANO,CCS,2035,False,MW,3387.0,8110.8,0.0,4723.8
GenX,CANO,CCS,2040,False,MW,8110.8,9740.3,0.0,1629.5
GenX,CANO,CCS,2045,False,MW,9740.3,12490.5,0.0,2750.2
GenX,CANO,CCS,2050,False,MW,12490.5,13789.6,0.0,1299.1
GenX,CANO,Distributed Solar,2027,True,MW,4470.0,4470.0,0.0,0.0
GenX,CANO,Distributed Solar,2030,True,MW,4470.0,5319.0,0.0,849.0
GenX,CANO,Distributed Solar,2035,True,MW,5319.0,6156.0,0.0,837.0
GenX,CANO,Distributed Solar,2040,True,MW,6156.0,6415.0,0.0,259.0
GenX,CANO,Distributed Solar,2045,True,MW,6415.0,6489.0,0.0,74.0
GenX,CANO,Distributed Solar,2050,True,MW,6489.0,6550.0,0.0,61.0
GenX,CANO,Geothermal,2027,True,MW,0.0,0.0,0.0,0.0
GenX,CANO,Geothermal,2030,True,MW,0.0,0.0,0.0,0.0
GenX,CANO,Geothermal,2035,True,MW,0.0,0.0,0.0,0.0
GenX,CANO,Geothermal,2040,True,MW,0.0,0.0,0.0,0.0
GenX,CANO,Geothermal,2045,True,MW,0.0,0.0,0.0,0.0
GenX,CANO,Geothermal,2050,True,MW,0.0,0.0,0.0,0.0
GenX,CANO,Hydro,2027,True,MW,9703.8,9703.8,0.0,0.0
GenX,CANO,Hydro,2027,True,MWh,35292.0,35292.0,0.0,0.0
GenX,CANO,Hydro,2030,True,MW,9703.8,9465.5,238.3,0.0
GenX,CANO,Hydro,2030,True,MWh,35292.0,35292.0,0.0,0.0
GenX,CANO,Hydro,2035,True,MW,9465.5,9396.5,69.0,0.0
GenX,CANO,Hydro,2035,True,MWh,35292.0,35292.0,0.0,0.0
GenX,CANO,Hydro,2040,True,MW,9396.5,9393.8,2.7,0.0
GenX,CANO,Hydro,2040,True,MWh,35292.0,35292.0,0.0,0.0
GenX,CANO,Hydro,2045,True,MW,9393.8,8933.5,460.3,0.0
GenX,CANO,Hydro,2045,True,MWh,35292.0,35292.0,0.0,0.0
GenX,CANO,Hydro,2050,True,MW,8933.5,8091.3,842.2,0.0
GenX,CANO,Hydro,2050,True,MWh,35292.0,35292.0,0.0,0.0
GenX,CANO,Hydrogen,2027,False,MW,0.0,0.7,0.0,0.7
GenX,CANO,Hydrogen,2030,False,MW,0.7,1.4,0.0,0.7
GenX,CANO,Hydrogen,2035,False,MW,1.4,1.5,0.0,0.1
GenX,CANO,Hydrogen,2040,False,MW,1.5,2.1,0.0,0.6
GenX,CANO,Hydrogen,2045,False,MW,2.1,3.4,0.0,1.3
GenX,CANO,Hydrogen,2050,False,MW,3.4,3.5,0.0,0.1
GenX,CANO,Natural Gas CC,2027,True,MW,11409.7,11409.7,0.0,0.0
GenX,CANO,Natural Gas CC,2030,True,MW,11409.7,11409.7,0.0,0.0
GenX,CANO,Natural Gas CC,2035,True,MW,11409.7,11409.7,0.0,0.0
GenX,CANO,Natural Gas CC,2040,True,MW,11409.7,11409.7,0.0,0.0
GenX,CANO,Natural Gas CC,2045,True,MW,11409.7,11409.7,0.0,0.0
GenX,CANO,Natural Gas CC,2050,True,MW,11409.7,10788.4,621.3,0.0
GenX,CANO,Natural Gas CT,2027,True,MW,4675.5,4675.5,0.0,0.0
GenX,CANO,Natural Gas CT,2030,True,MW,4675.5,4669.9,5.6,0.0
GenX,CANO,Natural Gas CT,2035,True,MW,4669.9,4586.2,83.7,0.0
GenX,CANO,Natural Gas CT,2040,True,MW,4586.2,3502.5,1083.7,0.0
GenX,CANO,Natural Gas CT,2045,True,MW,3502.5,3113.8,388.7,0.0
GenX,CANO,Natural Gas CT,2050,True,MW,3113.8,2947.4,166.4,0.0
GenX,CANO,Natural Gas Other,2027,True,MW,447.3,447.3,0.0,0.0
GenX,CANO,Natural Gas Other,2030,True,MW,447.3,447.3,0.0,0.0
GenX,CANO,Natural Gas Other,2035,True,MW,447.3,447.3,0.0,0.0
GenX,CANO,Natural Gas Other,2040,True,MW,447.3,447.3,0.0,0.0
GenX,CANO,Natural Gas Other,2045,True,MW,447.3,447.3,0.0,0.0
GenX,CANO,Natural Gas Other,2050,True,MW,447.3,436.8,10.5,0.0
GenX,CANO,Nuclear,2027,False,MW,0.0,0.1,0.0,0.1
GenX,CANO,Nuclear,2027,True,MW,0.0,0.0,0.0,0.0
GenX,CANO,Nuclear,2030,False,MW,0.1,0.3,0.0,0.2
GenX,CANO,Nuclear,2030,True,MW,0.0,0.0,0.0,0.0
GenX,CANO,Nuclear,2035,False,MW,0.3,0.3,0.0,0.0
GenX,CANO,Nuclear,2035,True,MW,0.0,0.0,0.0,0.0
GenX,CANO,Nuclear,2040,False,MW,0.3,0.3,0.0,0.0
GenX,CANO,Nuclear,2040,True,MW,0.0,0.0,0.0,0.0
GenX,CANO,Nuclear,2045,False,MW,0.3,0.5,0.0,0.2
GenX,CANO,Nuclear,2045,True,MW,0.0,0.0,0.0,0.0
GenX,CANO,Nuclear,2050,False,MW,0.5,0.5,0.0,0.0
GenX,CANO,Nuclear,2050,True,MW,0.0,0.0,0.0,0.0
GenX,CANO,Other,2027,True,MW,405.0,405.0,0.0,0.0
GenX,CANO,Other,2030,True,MW,405.0,396.6,8.4,0.0
GenX,CANO,Other,2035,True,MW,396.6,386.6,10.0,0.0
GenX,CANO,Other,2040,True,MW,386.6,237.4,149.2,0.0
GenX,CANO,Other,2045,True,MW,237.4,236.0,1.4,0.0
GenX,CANO,Other,2050,True,MW,236.0,207.7,28.3,0.0
GenX,CANO,Solar,2027,False,MW,0.0,8.1,0.0,8.1
GenX,CANO,Solar,2027,True,MW,6328.2,6328.2,0.0,0.0
GenX,CANO,Solar,2030,False,MW,8.1,9505.4,0.0,9497.3
GenX,CANO,Solar,2030,True,MW,6328.2,6328.2,0.0,0.0
GenX,CANO,Solar,2035,False,MW,9505.4,14504.2,0.0,4998.8
GenX,CANO,Solar,2035,True,MW,6328.2,6328.2,0.0,0.0
GenX,CANO,Solar,2040,False,MW,14504.2,18491.0,0.0,3986.9
GenX,CANO,Solar,2040,True,MW,6328.2,6287.4,40.8,0.0
GenX,CANO,Solar,2045,False,MW,18491.0,24432.2,0.0,5941.2
GenX,CANO,Solar,2045,True,MW,6287.4,4662.1,1625.3,0.0
GenX,CANO,Solar,2050,False,MW,24432.2,33481.1,0.0,9048.9
GenX,CANO,Solar,2050,True,MW,4662.1,2501.9,2160.2,0.0
GenX,CANO,Wind,2027,False,MW,0.0,4.5,0.0,4.5
GenX,CANO,Wind,2027,True,MW,1442.0,1442.0,0.0,0.0
GenX,CANO,Wind,2030,False,MW,4.5,435.9,0.0,431.4
GenX,CANO,Wind,2030,True,MW,1442.0,1442.0,0.0,0.0
GenX,CANO,Wind,2035,False,MW,435.9,524.2,0.0,88.3
GenX,CANO,Wind,2035,True,MW,1442.0,1262.0,180.0,0.0
GenX,CANO,Wind,2040,False,MW,524.2,524.7,0.1,0.5
GenX,CANO,Wind,2040,True,MW,1262.0,698.0,564.0,0.0
GenX,CANO,Wind,2045,False,MW,524.7,526.3,0.0,1.7
GenX,CANO,Wind,2045,True,MW,698.0,115.1,582.9,0.0
GenX,CANO,Wind,2050,False,MW,526.3,528.0,0.1,1.8
GenX,CANO,Wind,2050,True,MW,115.1,61.8,53.3,0.0
GenX,CASO,Battery,2027,False,MW,0.0,1.5,0.0,1.5
GenX,CASO,Battery,2027,False,MWh,0.0,1.6,0.0,1.6
GenX,CASO,Battery,2027,True,MW,8927.8,8927.8,0.0,0.0
GenX,CASO,Battery,2027,True,MWh,33569.2,33569.2,0.0,0.0
GenX,CASO,Battery,2030,False,MW,1.5,2.9,0.0,1.4
GenX,CASO,Battery,2030,False,MWh,1.6,4.6,0.0,3.0
GenX,CASO,Battery,2030,True,MW,8927.8,8920.2,7.6,0.0
GenX,CASO,Battery,2030,True,MWh,33569.2,33541.2,28.0,0.0
GenX,CASO,Battery,2035,False,MW,2.9,3.0,0.0,0.1
GenX,CASO,Battery,2035,False,MWh,4.6,6.6,0.0,2.0
GenX,CASO,Battery,2035,True,MW,8920.2,8439.5,480.7,0.0
GenX,CASO,Battery,2035,True,MWh,33541.2,32541.1,1000.1,0.0
GenX,CASO,Battery,2040,False,MW,3.0,14.5,0.0,11.5
GenX,CASO,Battery,2040,False,MWh,6.6,62.6,0.0,56.0
GenX,CASO,Battery,2040,True,MW,8439.5,84.0,8355.5,0.0
GenX,CASO,Battery,2040,True,MWh,32541.1,336.0,32205.1,0.0
GenX,CASO,Battery,2045,False,MW,14.5,488.1,0.0,473.6
GenX,CASO,Battery,2045,False,MWh,62.6,2258.4,0.0,2195.9
