model,line,line_name,planning_year,case,unit,start_value,end_value
GenX,1,BASN_to_CANO,2027,base_short,MW,100,100.025
GenX,2,BASN_to_CASO,2027,base_short,MW,5920,5921.06
GenX,3,BASN_to_NWPP,2027,base_short,MW,3350,3350.34
GenX,4,BASN_to_RMRG,2027,base_short,MW,3750,3750.18
GenX,5,BASN_to_SRSG,2027,base_short,MW,5385,5385.6
GenX,6,CANO_to_CASO,2027,base_short,MW,3675,3675.03
GenX,7,CANO_to_NWPP,2027,base_short,MW,3675,3675.03
GenX,8,CASO_to_NWPP,2027,base_short,MW,2858,2858.03
GenX,9,CASO_to_SRSG,2027,base_short,MW,4354,4354.18
GenX,10,FRCC_to_SRSE,2027,base_short,MW,3600,3600
GenX,11,ISNE_to_NYCW,2027,base_short,MW,760,760.001
GenX,12,ISNE_to_NYUP,2027,base_short,MW,1400,1400.22
GenX,13,MISC_to_MISE,2027,base_short,MW,0,2.30319
GenX,14,MISC_to_MISS,2027,base_short,MW,1039,1039.07
GenX,15,MISC_to_MISW,2027,base_short,MW,1655,1655.17
GenX,16,MISC_to_PJMC,2027,base_short,MW,5244,5244.09
GenX,17,MISC_to_PJMW,2027,base_short,MW,5441,5441.02
GenX,18,MISC_to_SPPC,2027,base_short,MW,1430,1430.27
GenX,19,MISC_to_SPPN,2027,base_short,MW,0,3.6013
GenX,20,MISC_to_SPPS,2027,base_short,MW,1172,1172.08
GenX,21,MISC_to_SRCE,2027,base_short,MW,3745,3745.18
GenX,22,MISE_to_MISW,2027,base_short,MW,0,1.82744
GenX,23,MISE_to_PJMW,2027,base_short,MW,2662,2662.33
GenX,24,MISS_to_SPPC,2027,base_short,MW,0,3.8015
GenX,25,MISS_to_SPPS,2027,base_short,MW,1697,1697.2
GenX,26,MISS_to_SRCE,2027,base_short,MW,4092,4092.22
GenX,27,MISS_to_SRSE,2027,base_short,MW,891,891.077
GenX,28,MISW_to_NWPP,2027,base_short,MW,200,200.111
GenX,29,MISW_to_PJMC,2027,base_short,MW,3200,3200.01
GenX,30,MISW_to_SPPC,2027,base_short,MW,0,2.08099
GenX,31,MISW_to_SPPN,2027,base_short,MW,5512,5512.11
GenX,32,NWPP_to_RMRG,2027,base_short,MW,400,400.061
GenX,33,NYCW_to_NYUP,2027,base_short,MW,2489,2489.06
GenX,34,NYCW_to_PJME,2027,base_short,MW,660,4016.82
GenX,35,NYUP_to_PJME,2027,base_short,MW,1255,1255.52
GenX,36,PJMC_to_PJMW,2027,base_short,MW,980,980.154
GenX,37,PJMD_to_PJME,2027,base_short,MW,1200,1200.3
GenX,38,PJMD_to_PJMW,2027,base_short,MW,6930,6930.38
GenX,39,PJMD_to_SRCA,2027,base_short,MW,1000,1000.11
GenX,40,PJME_to_PJMW,2027,base_short,MW,3885,3885.01
GenX,41,PJMW_to_SRCA,2027,base_short,MW,1219,1219.02
GenX,42,PJMW_to_SRCE,2027,base_short,MW,3333,3333.15
GenX,43,RMRG_to_SPPC,2027,base_short,MW,210,210.557
GenX,44,RMRG_to_SPPN,2027,base_short,MW,410,1705.77
GenX,45,RMRG_to_SRSG,2027,base_short,MW,614,614.164
GenX,46,SPPC_to_SPPN,2027,base_short,MW,1433,2183.53
GenX,47,SPPC_to_SPPS,2027,base_short,MW,3372,3372.18
GenX,48,SPPN_to_SPPS,2027,base_short,MW,0,7.98966
GenX,49,SPPS_to_SRSG,2027,base_short,MW,1010,1010.08
GenX,50,SPPS_to_TRE,2027,base_short,MW,600,600.176
GenX,51,SPPS_to_TREW,2027,base_short,MW,220,5006.15
GenX,52,SRCA_to_SRCE,2027,base_short,MW,216,216.064
GenX,53,SRCA_to_SRSE,2027,base_short,MW,1400,1400.03
