model,zone,resource_name,tech_type,planning_year,case,timestep,unit,value
GenX,BASN,BASN_batteries_1,Battery,2027,base_short_current_policies_retire,all,MWh,524271.7636061032
GenX,BASN,BASN_biomass_1,Other,2027,base_short_current_policies_retire,all,MWh,70761.60000000148
GenX,BASN,BASN_biomass_2,Other,2027,base_short_current_policies_retire,all,MWh,179961.59999999995
GenX,BASN,BASN_conventional_hydroelectric_1,Hydro,2027,base_short_current_policies_retire,all,MWh,9200243.221525265
GenX,BASN,BASN_conventional_steam_coal_1,Coal,2027,base_short_current_policies_retire,all,MWh,9409214.40642463
GenX,BASN,BASN_conventional_steam_coal_2,Coal,2027,base_short_current_policies_retire,all,MWh,14731360.321108095
GenX,BASN,BASN_geothermal_1,Geothermal,2027,base_short_current_policies_retire,all,MWh,4346066.525127564
GenX,BASN,BASN_natural_gas_fired_combined_cycle_1,Natural Gas CC,2027,base_short_current_policies_retire,all,MWh,4520.127467633109
GenX,BASN,BASN_natural_gas_fired_combined_cycle_2,Natural Gas CC,2027,base_short_current_policies_retire,all,MWh,26629788.147785544
GenX,BASN,BASN_natural_gas_fired_combustion_turbine_1,Natural Gas CT,2027,base_short_current_policies_retire,all,MWh,553.6618440165385
GenX,BASN,BASN_natural_gas_fired_combustion_turbine_2,Natural Gas CT,2027,base_short_current_policies_retire,all,MWh,689.9031046067352
GenX,BASN,BASN_natural_gas_internal_combustion_engine_1,Natural Gas Other,2027,base_short_current_policies_retire,all,MWh,1131.841535031557
GenX,BASN,BASN_natural_gas_steam_turbine_1,Natural Gas Other,2027,base_short_current_policies_retire,all,MWh,386.6297587137328
GenX,BASN,BASN_onshore_wind_turbine_1,Wind,2027,base_short_current_policies_retire,all,MWh,3551580.0184190297
GenX,BASN,BASN_petroleum_liquids_1,Other,2027,base_short_current_policies_retire,all,MWh,46.34510853156978
GenX,BASN,BASN_small_hydroelectric_1,Hydro,2027,base_short_current_policies_retire,all,MWh,2006659.2000000088
GenX,BASN,BASN_solar_photovoltaic_1,Solar,2027,base_short_current_policies_retire,all,MWh,20071617.740729623
GenX,CANO,CANO_batteries_1,Battery,2027,base_short_current_policies_retire,all,MWh,2057541.1004603447
GenX,CANO,CANO_biomass_1,Other,2027,base_short_current_policies_retire,all,MWh,1382908.7999999907
GenX,CANO,CANO_biomass_2,Other,2027,base_short_current_policies_retire,all,MWh,647337.5999999966
GenX,CANO,CANO_conventional_hydroelectric_1,Hydro,2027,base_short_current_policies_retire,all,MWh,21131562.258564085
GenX,CANO,CANO_geothermal_1,Geothermal,2027,base_short_current_policies_retire,all,MWh,6830016.08037636
