model,line,line_name,planning_year,case,unit,value
GenX,1,BASN_to_CANO,2027,base_short_current_policies_retire,MW,0.0208186
GenX,2,BASN_to_CASO,2027,base_short_current_policies_retire,MW,0.0517266
GenX,3,BASN_to_NWPP,2027,base_short_current_policies_retire,MW,0.0604162
GenX,4,BASN_to_RMRG,2027,base_short_current_policies_retire,MW,0.0619759
GenX,5,BASN_to_SRSG,2027,base_short_current_policies_retire,MW,0.111842
GenX,6,CANO_to_CASO,2027,base_short_current_policies_retire,MW,0.816017
GenX,7,CANO_to_NWPP,2027,base_short_current_policies_retire,MW,0.0463125
GenX,8,CASO_to_NWPP,2027,base_short_current_policies_retire,MW,0.0660329
GenX,9,CASO_to_SRSG,2027,base_short_current_policies_retire,MW,0.000522715
GenX,10,FRCC_to_SRSE,2027,base_short_current_policies_retire,MW,0.181961
GenX,11,ISNE_to_NYCW,2027,base_short_current_policies_retire,MW,0.0111155
GenX,12,ISNE_to_NYUP,2027,base_short_current_policies_retire,MW,559.227
GenX,13,MISC_to_MISE,2027,base_short_current_policies_retire,MW,1.9403
GenX,14,MISC_to_MISS,2027,base_short_current_policies_retire,MW,0.0179141
GenX,15,MISC_to_MISW,2027,base_short_current_policies_retire,MW,0.0587146
GenX,16,MISC_to_PJMC,2027,base_short_current_policies_retire,MW,0.506372
GenX,17,MISC_to_PJMW,2027,base_short_current_policies_retire,MW,0.0673139
GenX,18,MISC_to_SPPC,2027,base_short_current_policies_retire,MW,0.0209103
GenX,19,MISC_to_SPPN,2027,base_short_current_policies_retire,MW,3.33271
GenX,20,MISC_to_SPPS,2027,base_short_current_policies_retire,MW,0.174357
GenX,21,MISC_to_SRCE,2027,base_short_current_policies_retire,MW,0.351075
GenX,22,MISE_to_MISW,2027,base_short_current_policies_retire,MW,1.55286
GenX,23,MISE_to_PJMW,2027,base_short_current_policies_retire,MW,0.120116
GenX,24,MISS_to_SPPC,2027,base_short_current_policies_retire,MW,5.08185
GenX,25,MISS_to_SPPS,2027,base_short_current_policies_retire,MW,0.392078
GenX,26,MISS_to_SRCE,2027,base_short_current_policies_retire,MW,0.112155
GenX,27,MISS_to_SRSE,2027,base_short_current_policies_retire,MW,0.0429305
GenX,28,MISW_to_NWPP,2027,base_short_current_policies_retire,MW,0.0108803
GenX,29,MISW_to_PJMC,2027,base_short_current_policies_retire,MW,0.0551903
GenX,30,MISW_to_SPPC,2027,base_short_current_policies_retire,MW,1.77485
