resource_name,zone,tech_type,model,planning_year,case,unit,start_value,end_value,start_MWh,end_MWh
BASN_batteries_1,BASN,Battery,SWITCH,2027,base_short_current_policies_retire,MW,935.8,935.8,2195.6,2195.6
BASN_biomass_1,BASN,Other,SWITCH,2027,base_short_current_policies_retire,MW,12.6,12.6,0.0,0.0
BASN_biomass_2,BASN,Other,SWITCH,2027,base_short_current_policies_retire,MW,32.0,32.0,0.0,0.0
BASN_conventional_hydroelectric_1,BASN,Hydro,SWITCH,2027,base_short_current_policies_retire,MW,2522.6,2522.6,0.0,0.0
BASN_conventional_steam_coal_1,BASN,Coal,SWITCH,2027,base_short_current_policies_retire,MW,1700.2,1700.2,0.0,0.0
BASN_conventional_steam_coal_2,BASN,Coal,SWITCH,2027,base_short_current_policies_retire,MW,3622.0,3622.0,0.0,0.0
BASN_distributed_generation_1,BASN,Distributed Solar,SWITCH,2027,base_short_current_policies_retire,MW,1193.0,1193.0,0.0,0.0
BASN_geothermal_1,BASN,Geothermal,SWITCH,2027,base_short_current_policies_retire,MW,962.0,962.0,0.0,0.0
BASN_natural_gas_fired_combined_cycle_2,BASN,Natural Gas,SWITCH,2027,base_short_current_policies_retire,MW,6454.0,6454.0,0.0,0.0
BASN_onshore_wind_turbine_1,BASN,Wind,SWITCH,2027,base_short_current_policies_retire,MW,1510.1,1670.1,0.0,0.0
BASN_small_hydroelectric_1,BASN,Hydro,SWITCH,2027,base_short_current_policies_retire,MW,494.5,494.5,0.0,0.0
BASN_solar_photovoltaic_1,BASN,Solar,SWITCH,2027,base_short_current_policies_retire,MW,6777.2,7343.2,0.0,0.0
CANO_batteries_1,CANO,Battery,SWITCH,2027,base_short_current_policies_retire,MW,2273.6,2652.6,9058.7,10574.7
CANO_biomass_1,CANO,Other,SWITCH,2027,base_short_current_policies_retire,MW,469.0,469.0,0.0,0.0
CANO_biomass_2,CANO,Other,SWITCH,2027,base_short_current_policies_retire,MW,219.6,219.6,0.0,0.0
CANO_conventional_hydroelectric_1,CANO,Hydro,SWITCH,2027,base_short_current_policies_retire,MW,7519.2,7519.2,0.0,0.0
CANO_distributed_generation_1,CANO,Distributed Solar,SWITCH,2027,base_short_current_policies_retire,MW,4478.0,4478.0,0.0,0.0
CANO_geothermal_1,CANO,Geothermal,SWITCH,2027,base_short_current_policies_retire,MW,987.4,987.4,0.0,0.0
CANO_hydroelectric_pumped_storage_1,CANO,Hydro,SWITCH,2027,base_short_current_policies_retire,MW,2276.9,2276.9,35291.95,35291.95
CANO_natural_gas_fired_combined_cycle_2,CANO,Natural Gas,SWITCH,2027,base_short_current_policies_retire,MW,8296.9,8296.9,0.0,0.0
CANO_onshore_wind_turbine_1,CANO,Wind,SWITCH,2027,base_short_current_policies_retire,MW,1473.5,1473.5,0.0,0.0
CANO_small_hydroelectric_1,CANO,Hydro,SWITCH,2027,base_short_current_policies_retire,MW,745.0,745.0,0.0,0.0
CANO_solar_photovoltaic_1,CANO,Solar,SWITCH,2027,base_short_current_policies_retire,MW,5278.0,6328.3,0.0,0.0
CASO_batteries_1,CASO,Battery,SWITCH,2027,base_short_current_policies_retire,MW,6682.4,8845.3,24587.6,33239.2
CASO_biomass_1,CASO,Other,SWITCH,2027,base_short_current_policies_retire,MW,310.3,310.3,0.0,0.0
CASO_biomass_2,CASO,Other,SWITCH,2027,base_short_current_policies_retire,MW,53.8,53.8,0.0,0.0
CASO_conventional_hydroelectric_1,CASO,Hydro,SWITCH,2027,base_short_current_policies_retire,MW,1346.4,1346.4,0.0,0.0
CASO_conventional_steam_coal_1,CASO,Coal,SWITCH,2027,base_short_current_policies_retire,MW,57.0,57.0,0.0,0.0
CASO_distributed_generation_1,CASO,Distributed Solar,SWITCH,2027,base_short_current_policies_retire,MW,6969.0,6969.0,0.0,0.0
CASO_geothermal_1,CASO,Geothermal,SWITCH,2027,base_short_current_policies_retire,MW,335.4,335.4,0.0,0.0
CASO_hydroelectric_pumped_storage_1,CASO,Hydro,SWITCH,2027,base_short_current_policies_retire,MW,1665.0,1665.0,25807.5,25807.5
CASO_natural_gas_fired_combined_cycle_2,CASO,Natural Gas,SWITCH,2027,base_short_current_policies_retire,MW,7481.6,7481.6,0.0,0.0
CASO_onshore_wind_turbine_1,CASO,Wind,SWITCH,2027,base_short_current_policies_retire,MW,4501.0,4528.0,0.0,0.0
CASO_small_hydroelectric_1,CASO,Hydro,SWITCH,2027,base_short_current_policies_retire,MW,363.9,363.9,0.0,0.0
CASO_solar_photovoltaic_1,CASO,Solar,SWITCH,2027,base_short_current_policies_retire,MW,12607.4,13707.4,0.0,0.0
FRCC_batteries_1,FRCC,Battery,SWITCH,2027,base_short_current_policies_retire,MW,555.2,555.2,1129.4,1129.4
FRCC_biomass_1,FRCC,Other,SWITCH,2027,base_short_current_policies_retire,MW,546.1,546.1,0.0,0.0
FRCC_biomass_2,FRCC,Other,SWITCH,2027,base_short_current_policies_retire,MW,488.0,488.0,0.0,0.0
FRCC_conventional_hydroelectric_1,FRCC,Hydro,SWITCH,2027,base_short_current_policies_retire,MW,43.5,43.5,0.0,0.0
FRCC_conventional_steam_coal_1,FRCC,Coal,SWITCH,2027,base_short_current_policies_retire,MW,3590.0,700.767067,0.0,0.0
FRCC_distributed_generation_1,FRCC,Distributed Solar,SWITCH,2027,base_short_current_policies_retire,MW,2946.0,2946.0,0.0,0.0
FRCC_natural_gas_fired_combined_cycle_1,FRCC,Natural Gas,SWITCH,2027,base_short_current_policies_retire,MW,34167.2,34167.2,0.0,0.0
FRCC_natural_gas_fired_combustion_turbine_1,FRCC,Natural Gas,SWITCH,2027,base_short_current_policies_retire,MW,7938.8,4738.700366,0.0,0.0
FRCC_nuclear_1,FRCC,Nuclear,SWITCH,2027,base_short_current_policies_retire,MW,3737.0,3737.0,0.0,0.0
FRCC_solar_photovoltaic_1,FRCC,Solar,SWITCH,2027,base_short_current_policies_retire,MW,6776.1,8043.0,0.0,0.0
ISNE_batteries_1,ISNE,Battery,SWITCH,2027,base_short_current_policies_retire,MW,344.0,368.4,712.5,761.3
ISNE_biomass_1,ISNE,Other,SWITCH,2027,base_short_current_policies_retire,MW,439.0,439.0,0.0,0.0
ISNE_biomass_2,ISNE,Other,SWITCH,2027,base_short_current_policies_retire,MW,858.3,858.3,0.0,0.0
ISNE_conventional_hydroelectric_1,ISNE,Hydro,SWITCH,2027,base_short_current_policies_retire,MW,1083.4,1083.4,0.0,0.0
ISNE_conventional_steam_coal_1,ISNE,Coal,SWITCH,2027,base_short_current_policies_retire,MW,96.6,96.6,0.0,0.0
ISNE_conventional_steam_coal_2,ISNE,Coal,SWITCH,2027,base_short_current_policies_retire,MW,438.0,438.0,0.0,0.0
ISNE_distributed_generation_1,ISNE,Distributed Solar,SWITCH,2027,base_short_current_policies_retire,MW,4187.0,4187.0,0.0,0.0
ISNE_hydroelectric_pumped_storage_1,ISNE,Hydro,SWITCH,2027,base_short_current_policies_retire,MW,1830.0,1830.0,28365.0,28365.0
ISNE_natural_gas_fired_combined_cycle_1,ISNE,Natural Gas,SWITCH,2027,base_short_current_policies_retire,MW,3844.8,3850.7,0.0,0.0
ISNE_natural_gas_fired_combined_cycle_2,ISNE,Natural Gas,SWITCH,2027,base_short_current_policies_retire,MW,10513.3,10513.3,0.0,0.0
ISNE_natural_gas_fired_combustion_turbine_1,ISNE,Natural Gas,SWITCH,2027,base_short_current_policies_retire,MW,1338.4,1338.4,0.0,0.0
ISNE_natural_gas_fired_combustion_turbine_2,ISNE,Natural Gas,SWITCH,2027,base_short_current_policies_retire,MW,453.4,459.8,0.0,0.0
ISNE_natural_gas_internal_combustion_engine_1,ISNE,Natural Gas,SWITCH,2027,base_short_current_policies_retire,MW,70.8,70.8,0.0,0.0
ISNE_nuclear_1,ISNE,Nuclear,SWITCH,2027,base_short_current_policies_retire,MW,3355.5,3355.5,0.0,0.0
ISNE_offshore_wind_turbine_1,ISNE,Wind,SWITCH,2027,base_short_current_policies_retire,MW,29.3,29.3,0.0,0.0
ISNE_onshore_wind_turbine_1,ISNE,Wind,SWITCH,2027,base_short_current_policies_retire,MW,1547.1,1547.1,0.0,0.0
ISNE_petroleum_liquids_1,ISNE,Other,SWITCH,2027,base_short_current_policies_retire,MW,4971.9,1291.543886,0.0,0.0
ISNE_small_hydroelectric_1,ISNE,Hydro,SWITCH,2027,base_short_current_policies_retire,MW,892.2,892.2,0.0,0.0
ISNE_solar_photovoltaic_1,ISNE,Solar,SWITCH,2027,base_short_current_policies_retire,MW,2359.6,2581.9,0.0,0.0
MISC_batteries_1,MISC,Battery,SWITCH,2027,base_short_current_policies_retire,MW,36.3,36.3,60.1,60.1
MISC_biomass_1,MISC,Other,SWITCH,2027,base_short_current_policies_retire,MW,72.1,72.1,0.0,0.0
MISC_biomass_2,MISC,Other,SWITCH,2027,base_short_current_policies_retire,MW,71.7,71.7,0.0,0.0
MISC_conventional_hydroelectric_1,MISC,Hydro,SWITCH,2027,base_short_current_policies_retire,MW,597.5,597.5,0.0,0.0
MISC_conventional_steam_coal_2,MISC,Coal,SWITCH,2027,base_short_current_policies_retire,MW,17524.3,8988.881033,0.0,0.0
MISC_distributed_generation_1,MISC,Distributed Solar,SWITCH,2027,base_short_current_policies_retire,MW,745.0,745.0,0.0,0.0
MISC_hydroelectric_pumped_storage_1,MISC,Hydro,SWITCH,2027,base_short_current_policies_retire,MW,471.0,471.0,7300.5,7300.5
MISC_natural_gas_fired_combined_cycle_1,MISC,Natural Gas,SWITCH,2027,base_short_current_policies_retire,MW,1893.6,1893.6,0.0,0.0
MISC_natural_gas_fired_combined_cycle_2,MISC,Natural Gas,SWITCH,2027,base_short_current_policies_retire,MW,3383.5,3383.5,0.0,0.0
MISC_natural_gas_fired_combustion_turbine_1,MISC,Natural Gas,SWITCH,2027,base_short_current_policies_retire,MW,674.7,674.7,0.0,0.0
MISC_natural_gas_fired_combustion_turbine_2,MISC,Natural Gas,SWITCH,2027,base_short_current_policies_retire,MW,8558.8,8558.8,0.0,0.0
MISC_nuclear_1,MISC,Nuclear,SWITCH,2027,base_short_current_policies_retire,MW,2373.0,2373.0,0.0,0.0
MISC_onshore_wind_turbine_1,MISC,Wind,SWITCH,2027,base_short_current_policies_retire,MW,6382.6,6437.0,0.0,0.0
MISC_small_hydroelectric_1,MISC,Hydro,SWITCH,2027,base_short_current_policies_retire,MW,43.6,43.6,0.0,0.0
MISC_solar_photovoltaic_1,MISC,Solar,SWITCH,2027,base_short_current_policies_retire,MW,1498.9,2722.2,0.0,0.0
MISE_batteries_1,MISE,Battery,SWITCH,2027,base_short_current_policies_retire,MW,1.3,1.3,1.5,1.5
MISE_biomass_1,MISE,Other,SWITCH,2027,base_short_current_policies_retire,MW,170.6,170.6,0.0,0.0
MISE_biomass_2,MISE,Other,SWITCH,2027,base_short_current_policies_retire,MW,139.9,139.9,0.0,0.0
MISE_conventional_hydroelectric_1,MISE,Hydro,SWITCH,2027,base_short_current_policies_retire,MW,32.3,32.3,0.0,0.0
MISE_conventional_steam_coal_1,MISE,Coal,SWITCH,2027,base_short_current_policies_retire,MW,5761.3,4532.597775,0.0,0.0
MISE_distributed_generation_1,MISE,Distributed Solar,SWITCH,2027,base_short_current_policies_retire,MW,642.0,642.0,0.0,0.0
MISE_hydroelectric_pumped_storage_1,MISE,Hydro,SWITCH,2027,base_short_current_policies_retire,MW,2115.0,2115.0,32782.5,32782.5
