model,zone,planning_year,case,unit,value
SWITCH,BASN,2027,base_short_current_policies,kg,53163431524.699295
SWITCH,CANO,2027,base_short_current_policies,kg,17504101894.058693
SWITCH,CASO,2027,base_short_current_policies,kg,15190578202.148188
SWITCH,FRCC,2027,base_short_current_policies,kg,91715074776.84056
SWITCH,ISNE,2027,base_short_current_policies,kg,18538387013.72157
SWITCH,MISC,2027,base_short_current_policies,kg,118486471490.07208
SWITCH,MISE,2027,base_short_current_policies,kg,54574033518.209816
SWITCH,MISS,2027,base_short_current_policies,kg,78580765495.39328
SWITCH,MISW,2027,base_short_current_policies,kg,89155253069.72952
SWITCH,NWPP,2027,base_short_current_policies,kg,21777908489.510883
SWITCH,NYCW,2027,base_short_current_policies,kg,8717716267.271296
SWITCH,NYUP,2027,base_short_current_policies,kg,7072792777.478774
SWITCH,PJMC,2027,base_short_current_policies,kg,5060228109.33372
SWITCH,PJMD,2027,base_short_current_policies,kg,4509811770.523534
SWITCH,PJME,2027,base_short_current_policies,kg,97538789239.20001
SWITCH,PJMW,2027,base_short_current_policies,kg,197301176989.03098
SWITCH,RMRG,2027,base_short_current_policies,kg,52059944059.42823
SWITCH,SPPC,2027,base_short_current_policies,kg,55226398109.11641
SWITCH,SPPN,2027,base_short_current_policies,kg,35387697922.357666
SWITCH,SPPS,2027,base_short_current_policies,kg,50566504038.54737
SWITCH,SRCA,2027,base_short_current_policies,kg,87948872234.61723
SWITCH,SRCE,2027,base_short_current_policies,kg,115383868711.60849
SWITCH,SRSE,2027,base_short_current_policies,kg,109324171187.25418
SWITCH,SRSG,2027,base_short_current_policies,kg,48366189341.29675
SWITCH,TRE,2027,base_short_current_policies,kg,103986279041.30894
SWITCH,TREW,2027,base_short_current_policies,kg,2410426351.0360885
SWITCH,BASN,2030,base_short_current_policies,kg,32029461350.6776
SWITCH,CANO,2030,base_short_current_policies,kg,15259402069.460182
SWITCH,CASO,2030,base_short_current_policies,kg,14050438338.941399
SWITCH,FRCC,2030,base_short_current_policies,kg,79749908001.23962
SWITCH,ISNE,2030,base_short_current_policies,kg,11214280891.194172
SWITCH,MISC,2030,base_short_current_policies,kg,107946552957.3438
SWITCH,MISE,2030,base_short_current_policies,kg,38987174626.53211
SWITCH,MISS,2030,base_short_current_policies,kg,77857247532.98534
SWITCH,MISW,2030,base_short_current_policies,kg,76974250509.38048
SWITCH,NWPP,2030,base_short_current_policies,kg,14790845436.665375
SWITCH,NYCW,2030,base_short_current_policies,kg,6818664467.600079
SWITCH,NYUP,2030,base_short_current_policies,kg,7551604076.615813
SWITCH,PJMC,2030,base_short_current_policies,kg,13811486237.537844
SWITCH,PJMD,2030,base_short_current_policies,kg,3164305814.156529
SWITCH,PJME,2030,base_short_current_policies,kg,87631144750.49246
SWITCH,PJMW,2030,base_short_current_policies,kg,180793409395.63892
SWITCH,RMRG,2030,base_short_current_policies,kg,39074540911.25929
