model,line_name,planning_year,case,unit,value
SWITCH,PJMC_to_MISC,2027,base_short_current_policies,MW,0.0
SWITCH,PJMC_to_PJMW,2027,base_short_current_policies,MW,0.0
SWITCH,PJMC_to_MISW,2027,base_short_current_policies,MW,0.0
SWITCH,PJME_to_NYUP,2027,base_short_current_policies,MW,1629.7555901538835
SWITCH,PJME_to_PJMW,2027,base_short_current_policies,MW,0.0
SWITCH,PJME_to_NYCW,2027,base_short_current_policies,MW,0.0
SWITCH,PJME_to_PJMD,2027,base_short_current_policies,MW,0.0
SWITCH,MISE_to_MISC,2027,base_short_current_policies,MW,2.5287987472552495e-12
SWITCH,MISE_to_PJMW,2027,base_short_current_policies,MW,0.0
SWITCH,MISE_to_MISW,2027,base_short_current_policies,MW,1.6092186267558965e-12
SWITCH,ISNE_to_NYUP,2027,base_short_current_policies,MW,394.0946123157328
SWITCH,ISNE_to_NYCW,2027,base_short_current_policies,MW,0.0
SWITCH,MISC_to_SPPC,2027,base_short_current_policies,MW,0.0
SWITCH,MISC_to_PJMW,2027,base_short_current_policies,MW,0.0
SWITCH,MISC_to_SRCE,2027,base_short_current_policies,MW,0.0
SWITCH,MISC_to_SPPS,2027,base_short_current_policies,MW,0.0
SWITCH,MISC_to_MISS,2027,base_short_current_policies,MW,0.0
SWITCH,MISC_to_SPPN,2027,base_short_current_policies,MW,2.904460698337384e-12
SWITCH,MISC_to_MISW,2027,base_short_current_policies,MW,0.0
SWITCH,CANO_to_BASN,2027,base_short_current_policies,MW,0.0
SWITCH,CANO_to_CASO,2027,base_short_current_policies,MW,0.0
SWITCH,CANO_to_NWPP,2027,base_short_current_policies,MW,0.0
SWITCH,TREW_to_TRE,2027,base_short_current_policies,MW,0.0
SWITCH,TREW_to_SPPS,2027,base_short_current_policies,MW,3231.536965873998
SWITCH,SPPC_to_SPPS,2027,base_short_current_policies,MW,0.0
SWITCH,SPPC_to_MISS,2027,base_short_current_policies,MW,3.831746035753164e-12
SWITCH,SPPC_to_SPPN,2027,base_short_current_policies,MW,0.0
